,X,y
0,"@nathaliejacoby1 You're just another Libtard 🤡 with no ethics, morals or values. Self defense is NOT a crime &amp; is actually enshrined in the Bill of Rights, but I wouldn't expect you to know that bc of your single digit IQ.",1
1,@POTUS @PressSec @SecCardona You don’t have the power to do this. We ARE NOT PAYING FOR SOMEONE ELSE TO GO TO COLLEGE SO STOP LYING TO AMERICA. HOW ABOUT YOU START DRILLING AND LOWER GAS PRICES BUT YOU ARE TOO STUPID AND STUBBORN 💩POS https://t.co/6EI1cIkFjK,1
2,@sfk3226 @KariLake @katiehobbs You need cry,1
3,@fred_guttenberg Yes those crazy maga terrorist are everywhere. No one is safe with their crazy second amendment ideology and refusal to let your brother have a baby.. You better watch out we may be next!!!!,1
4,@HouseGOP @GOPLeader 80 to receive 460 BILLION from the richest tax cheats!! officials have said that part of the money from a recent $80 billion infusion for the IRS from the so-called Inflation Reduction Act will be used to help audit high-income earners who do not pay their full tax liability.,1
5,"@GOP US Inflation rate ~ Inflation is going down, but corporations are price-gouging.  Corporate profits are at a record high.

#CommitmentToAmerica 
#VoteBlue 

Inflation Katie Porter
https://t.co/dWKBKAhOHR https://t.co/gk24q3P9JN",1
6,@DuaneStrohmeyer @KariLakeWarRoom @WinnieThePooch4 @katiehobbs Why? She has nothing better to do. It’s not like she has a real job or anything. A trick of narcissists is to pretend they have a massive following when in fact they don’t,1
7,Republicans shouldn't say a damn thing about Democrats and crime with they don't want to do anything about assault weapons,1
8,Gun violence is an epidemic in this country. We have had 600 mass shootings this year alone. Other countries do not have this problem. We need to address this like three public health crisis it is. https://t.co/87ER1Pu4KP,1
9,"@Acosta @JudiciaryGOP @HouseGOP Did you not run on fixing crime? Maybe you can find the answer in Hunter's laptop.
#walmartvirginia",1
10,"@MarshaBlackburn Correct! Kevin McCarthy asserts Republicans will hold the pursestrings of government.

So, we expect that kitchen table concerns like *inflation* will take *first priority* in the new Republican House!",1
11,How is this not a crime? Inciting violence https://t.co/MRwapndxPU,1
12,@NWChiFiets Close to $6/gal gas prices didn’t stop that (or speeding) here in Phoenix. Now that gas is closer to $4/gal it’s just getting worse.,1
13,"@HeHATEME31 Not all of them, I do believe in the 2nd amendment. However, our current reality just isn’t tenable. I think they should be treated like cars, every gun must be registered and insured with costs being based on caliber (or other metrics).",1
14,@13ghostInternet @LPGeorgia How does it help the working class when their cost of living goes up every year and their savings lose value? Who do you think benefits from inflation? Where do you think the new money goes? It sure as fuck doesn’t go to Joe 6-pack working a 9-5.,1
15,"@The_FJC @GOP Listen to the politicians who talk about the Constitution.  You cannot go wrong there, and certainly Cotton Johnson RandPaul MTG Kari Lake are

Championing it.",1
16,Where's Quebec getting the monies for their plan?? https://t.co/JiBE3DjgMC,1
17,@TrendingLiberal @KariLake Hope that proves to you that liberals are in the minority,1
18,@KariLakeWarRoom 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣LOSER,1
19,"If you’re heading home for the holidays, relatives and friends might have questions about the latest developments on affirmative action, student debt, and critical race theory. Here's a guide for how to talk about higher ed at the Thanksgiving table. https://t.co/1Fwha8nYGi",1
20,"Gun violence is a national epidemic. It won't get better until disgraceful GOP lawmakers reject gun-profit worshippers like the corrupt NRA &amp; join Democrats to pass common-sense gun safety laws. But the bloody gun lobby still loves Rep Molinaro.

Volunteer &amp; support DEMS in #ny19 https://t.co/BUYs3T6a17",1
21,"@mmpadellan @srh_medco no where is safe
b/c of the distortion of the 2nd Amendment
#BanAssaultWeaponsNow",1
22,"While I am thankful that our Pro-Equality Champions, @JohnFetterman &amp; @JoshShapiroPA, won &amp; the @PADems have taken control of the statehouse, we still have work to do. I’m looking forward to getting involved with the @HRC Philly Steering Committee to prepare us for 2024 &amp; beyond!",1
23,"I couldn't stay away from @HRC! After wrapping up my internship this summer for the Campaigns &amp; Organizing team, I started working in PA ahead of the crucial midterm elections. I made thousands of calls, knocked on hundreds of doors &amp; led phonebanks/canvasses to get out the vote.",1
24,Report: Biden Is Cutting Medicare Benefits Thru Inflation Reduction Act https://t.co/BwaZQAzNTZ,1
25,"@Father_Dwarf @DonKeehotey @GregAbbott_TX Do you think ""aid"" means we just send them that figure in cash?",1
26,@KariLake Ha ha hah! You are such a loser! Sad that only Republicans continue to whine about the most secure election process in the world.,1
27,"@newt928 @jerrywaynear14 @TudorDixon and you would do better on your own?

delusional loser.",1
28,"@KariLakeWarRoom @KariLake Go @KariLake, go! Keep fighting, we have this!",1
29,@Socratease80 @RepMTG @GregAbbott_TX He needs to ship more out!,1
30,"@CBSMornings @PeteButtigieg Student loan debt is Class Warfare! 
The fact that education is being denied through inflated cost &amp; indentured servitude is POLICY!
@POTUS @SecCardona must return College education to a common good model Pass #College4All &amp; #CancelStudentDebt for all!

https://t.co/XyQF3hfQNN",1
31,"@DreadCosmonaut @katiehobbs @emoctezumab @AlfonsoDurazo @jorgem_yescas Oh I see, you want open borders",1
32,"There is also a significant expenditure from the ""American Recovery Plan"" that means another TRILLION DOLLARS will enter the economy starting in January. There is no way inflation won't go up because of that.",1
33,"@KariLakeWarRoom @dbongino Take it to court, lose",1
34,"@SenWarren Pay for your education, after all it is you who will benefit from it.",1
35,"@mznatanya @0liviajulianna At a time when inflation is at an all time high, and many families can barely afford to live, it just seems like it could have been a little more subdued and discreet. I’d be saying this regardless of which political party was in the WH btw (I’m not a Republican)",1
36,"@WellRedneck @HerbieZiskend46 And I say that respectfully, because redneck is not a slur. You have some great points on your tl, it's a shame you think Biden lowered gas prices by emptying US oil reserves.",1
37,#Midterms2022 Wrap-up: How the Power Plays All Shook Out... https://t.co/qIyMO64HuQ #elections #Republican #Democrat #Congress #HouseofRepresentatives #Senate,1
38,@Brugalito25 @PhilTravelz @RepLeeZeldin @elonmusk Perhaps reading the COTUS bill of rights might share a clue with you?  The BoR only places limits on govt.  It does not grant any rights.  It only limits govt.,1
39,"""No more empty words. We don't need more show hearings. We need ACTION""

Rep. Roy breaks down how Republicans can END Biden's border crisis:

➡️Impeach Mayorkas NOW

➡️STOP writing blank checks to Biden's DHS until they SECURE the border

More w/@foxandfriends: https://t.co/rL0Cq27UW0",1
40,"@TeamHeinrich Democrats legislation and agenda has created the biggest crime wave in decades. If you voted for these democrats and your a victim, STFU, it’s what you voted for.",1
41,"@kingojungle @7XSoldier2 Too many people living on too little income and inflation stress... Vaccine related deaths in the family....Soros Elected Prosecutors not following thru on ""broken window"" Police policy.",1
42,@WHCOS @POTUS They know Biden is the reason we’re having spam this year… #Bidenflation,1
43,"@WHCOS @POTUS Where's your even larger list detailing the number of policy decisions that have destroyed America?  Attacking American oil and gas, open borders with 5 million illegals in 21 months, high crime, near war with Russia, biologic boys competing with girls, etc...",1
44,"@POTUS @SecCardona This is not a good plan.  You are punishing those who paid their student loans and rewarding the ones who didn't.  At most, have them keep their loans at no interest.",1
